index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	न	3.1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,2.1	प्रतिषेधः,5.1#प्रतिषेधः,2.1	NA		
2.1	शोधयति	4.1	शोधयति	शुध्1{णिजन्त;कर्तरि;लट्;प्र;एक;परस्मैपदी;दिवादिः}	शुध्1{णिजन्त;कर्तरि;लट्;प्र;एक;परस्मैपदी;दिवादिः}	-	-	KP	शुद्ध_नहीं_करता_है	शुद्ध_नहीं_करता_है
3.1	यत्	1.1	यत्	यत्{अव्य}/यत्{नपुं;2;एक}/यत्{नपुं;1;एक}	यत्{नपुं;1;एक}	कर्ता,2.1;कर्ता,7.1;कर्ता,9.1;नित्य_सम्बन्धः1,12.1	कर्म,2.1#कर्ता,2.1	N1	कि	कि
4.1	दोषान्	2.1	दोषान्	दोष{पुं;2;बहु}	दोष{पुं;2;बहु}	कर्म,2.1	कर्म,2.1	N2	दोषों_को	दोषों_को
5.1	समान्	5.1	समान्	सम्_अन्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}/सम्_अन्1{कर्तरि{लिट्;म;बहु;परस्मैपदी;अदादिः}/सम्_अन्1{कर्तरि{लिट्;उ;एक;परस्मैपदी;अदादिः}/सम{पुं;2;बहु}/समान{नपुं;8;एक}	सम{पुं;2;बहु}	कर्म,7.1	विशेषणम्,4.1#कर्म,7.1	N2	साँस_लिया	साँस_लिया
6.1	न	6.1	न	न{अव्य}	न{अव्य}	प्रतिषेधः,7.1	प्रतिषेधः,7.1	NA	नहीं	नहीं
7.1	उदीरयति	7.1	उदीरयति	उत्_ईर्{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपद;चुरादिः}	उत्_ईर्{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपद;चुरादिः}	समुच्चितः,2.1	समुच्चितः,2.1	KP	बोलता_हुआ	बोलता_हुआ
8.1	अपि	8.1	अपि	अपि{अव्य}	अपि{अव्य}	समुच्चय_द्योतकः,9.1	सम्बन्धः,7.1#समुच्चय_द्योतकः,9.1	NA	भी	भी
9.1	समीकरोति	10.1	समीकरोति	समी_कृ{कर्तरि;लट्;प्र;एक;परस्मैपद;तुदादिः}	समी_कृ{कर्तरि;लट्;प्र;एक;परस्मैपद;तुदादिः}	समुच्चितः,2.1	समुच्चितः,2.1	KP		
10.1	विषमान्	9.1	विषमान्	विषम{पुं;2;बहु}	विषम{पुं;2;बहु}	कर्म,9.1	कर्म,9.1	N2	विषमों_को	विषमों_को
11.1	शमनम्	17.1	शमनं	शमन{पुं;2;एक}/शमन{नपुं;1;एक}/शमन{नपुं;2;एक}	शमन{पुं;1;एक}	विधेय_विशेषणम्,12.1	कर्ता,18.1#विधेय_विशेषणम्,12.1	N1	शान्त_को	शान्त_को
12.1	तत्	11.1	तत्	तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;1;एक}	कर्ता,18.1	विशेषणम्,11.1#कर्ता_बे_वेर्ब्स्,18.1	N1	उसको	उसको
13.1	च	12.1	च	च{अव्य}	च{अव्य}	सम्बन्धः,18.1	समुच्चय_द्योतकः,12.1#सम्बन्धः,12.1#सम्बन्धः,18.1	NA	च2	च2
14.1	सप्तधा	16.1	सप्तधा	सप्तधा{स्त्री;1;एक}	सप्तधा{स्त्री;1;एक}	क्रियाविशेषणम्,18.1	विधेय_विशेषणम्,11.1#क्रियाविशेषणम्,18.1	N1		
15.1	पाचनम्	13.1	पाचनं	पाचन{पुं;2;एक}/पाचन{नपुं;1;एक}/पाचन{नपुं;2;एक}	पाचन{नपुं;1;एक}	घटकः,14.1	घटकः,14.1	N1		
16.1	दीपनम्	14.1	दीपनं	दीपन{नपुं;1;एक(दीप्1;ल्युट्;दिवादिः)}/दीपन{नपुं;2;एक(दीप्1;ल्युट्;दिवादिः)}	दीपन{नपुं;1;एक(दीप्1;ल्युट्;दिवादिः)}	घटकः,14.1	घटकः,14.1	N1	आग_लगाने_वाला	आग_लगाने_वाला
17.1	क्षुत्-	15.1	क्षुत्-	क्षुत्-	क्षुत्-	इतरेतर-द्वन्द्वः,17.5	इतरेतर-द्वन्द्वः,17.5	CP	क्षुध्	क्षुध्
17.2	तृट्-	15.2	तृट्-	तृट्-	तृट्-	इतरेतर-द्वन्द्वः,17.5	इतरेतर-द्वन्द्वः,17.5	CP		
17.3	व्यायाम-	15.3	व्यायाम-	व्यायाम-	व्यायाम-	इतरेतर-द्वन्द्वः,17.5	इतरेतर-द्वन्द्वः,17.5	CP	व्यायाम-	व्यायाम-
17.4	आतप-	15.4	आतप-	आतप-	आतप-	इतरेतर-द्वन्द्वः,17.5	इतरेतर-द्वन्द्वः,17.5	CP	आतप-	आतप-
17.5	मारुताः	15.5	मारुताः	मारुत{पुं;1;बहु}/मारुता{स्त्री;1;बहु}/मारुता{स्त्री;2;बहु}/मारुत{पुं;8;बहु}/मारुता{स्त्री;8;बहु}	मारुत{पुं;1;बहु}	घटकः,14.1	घटकः,14.1	N1	वायु	वायु
18.1	(भवति)	18.1	(भवति)	भू{कर्तरि;लट्;प्र;एक;परस्मैपद;भ्वादिः}	भू{कर्तरि;लट्;प्र;एक;परस्मैपद;भ्वादिः}	अभिहित_कर्ता,12.1	अभिहित_कर्ता,12.1	KP	-	-
19.1	.	19.1	.	-	-	-	-	FS	-	-
