index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	अथ		अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1#सम्बन्धः,3.3	NA	ऐसा	ऐसा
2.1	अतः		अतः	अतः{अव्य}	अतः{अव्य}	सम्बन्धः,4.1	कार्य_द्योतकः,4.1#कार्य_द्योतकः,3.3#सम्बन्धः,4.1	NA	अतः	अतः
3.1	दिनचर्या-		दिनचर्या-अध्यायम्	दिनचर्या	दिनचर्या	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	दिनचर्या-	दिनचर्या-
3.2	अध्यायम्		--	ध्यै1{कर्तरि;लङ्;उ;एक;परस्मैपदी;भ्वादिः}/अध्याय{पुं;2;एक(अधि_इ4;घञ्;अदादिः)}/अध्याय{नपुं;1;एक}/अध्याय{नपुं;2;एक}	अध्याय{पुं;2;एक(अधि_इ4;घञ्;अदादिः)}	कर्म,4.1	कर्म,4.1	N2	अध्याय	अध्याय
4.1	व्याख्यास्यामः		व्याख्यास्यामः	वि_आङ्_ख्या1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;अदादिः}/वि_आङ्_चक्ष्1{कर्तरि{लृट्;उ;बहु;आत्मनेपदी;अदादिः}	वि_आङ्_ख्या1{कर्तरि;लृट्;उ;बहु;परस्मैपदी;अदादिः}	-	-	KP	वि_आङ्_ख्या1एगा	वि_आङ्_ख्या1एगा
5.1	.		.	-	-	-	-	FS	-	-
